,region,subregion,Country,Population,TotalConfirmed
0,Asia,Southern Asia,Afghanistan,25500100.0,1531
1,Europe,Southern Europe,Albania,2821977.0,726
2,Africa,Northern Africa,Algeria,37900000.0,3382
3,Oceania,Polynesia,American Samoa,55519.0,0
4,Europe,Southern Europe,Andorra,76246.0,738
5,Africa,Middle Africa,Angola,20609294.0,26
6,Americas,Caribbean,Anguilla,13452.0,0
7,,,Antarctica,-1.0,0
8,Americas,Caribbean,Antigua and Barbuda,86295.0,24
9,Americas,South America,Argentina,40117096.0,3892
10,Asia,Western Asia,Armenia,3024100.0,1746
11,Americas,Caribbean,Aruba,101484.0,0
12,Oceania,Australia and New Zealand,Australia,23254142.0,6714
13,Europe,Western Europe,Austria,8501502.0,15225
14,Asia,Western Asia,Azerbaijan,9235100.0,1645
15,Americas,Caribbean,Bahamas,-1.0,80
16,Asia,Western Asia,Bahrain,1234571.0,2647
17,Asia,Southern Asia,Bangladesh,152518015.0,5416
18,Americas,Caribbean,Barbados,274200.0,79
19,Europe,Eastern Europe,Belarus,9465500.0,10463
20,Europe,Western Europe,Belgium,11175653.0,46134
21,Americas,Central America,Belize,312971.0,18
22,Africa,Western Africa,Benin,10323000.0,64
23,Americas,Northern America,Bermuda,64237.0,0
24,Asia,Southern Asia,Bhutan,740990.0,7
25,Americas,South America,Bolivia,10027254.0,950
26,Europe,Southern Europe,Bosnia and Herzegovina,3791622.0,1516
27,Africa,Southern Africa,Botswana,2024904.0,22
28,,,Bouvet Island,-1.0,0
29,Americas,South America,Brazil,201032714.0,63100
30,Africa,Eastern Africa,British Indian Ocean Territory,-1.0,0
31,Americas,Caribbean,British Virgin Islands,29537.0,0
32,Europe,Eastern Europe,Bulgaria,7282041.0,1300
33,Africa,Western Africa,Burkina Faso,17322796.0,632
34,Africa,Eastern Africa,Burundi,10163000.0,11
35,Asia,South-Eastern Asia,Cambodia,15135000.0,122
36,Africa,Middle Africa,Cameroon,20386799.0,1621
37,Americas,Northern America,Canada,35158304.0,47145
38,Africa,Western Africa,Cape Verde,491875.0,106
39,Americas,Caribbean,Cayman Islands,55456.0,0
40,Africa,Middle Africa,Central African Republic,4616000.0,19
41,Africa,Middle Africa,Chad,12825000.0,46
42,Americas,South America,Chile,16634603.0,13331
43,Asia,Eastern Asia,China,1361170000.0,83912
44,Oceania,Australia and New Zealand,Christmas Island,2072.0,0
45,Oceania,Australia and New Zealand,Cocos (Keeling) Islands,550.0,0
46,Americas,South America,Colombia,47330000.0,5379
47,Africa,Eastern Africa,Comoros,724300.0,0
48,Oceania,Polynesia,Cook Islands,14974.0,0
49,Americas,Central America,Costa Rica,4667096.0,695
50,Africa,Western Africa,Côte d'Ivoire,-1.0,1150
51,Europe,Southern Europe,Croatia,4290612.0,2030
52,Americas,Caribbean,Cuba,11167325.0,1369
53,Asia,Western Asia,Cyprus,865878.0,817
54,Europe,Eastern Europe,Czech Republic,10512900.0,7404
55,Europe,Northern Europe,Denmark,5623501.0,8773
56,Africa,Eastern Africa,Djibouti,864618.0,1023
57,Americas,Caribbean,Dominica,71293.0,16
58,Americas,Caribbean,Dominican Republic,9445281.0,6135
59,Americas,South America,Ecuador,15617900.0,22719
60,Africa,Northern Africa,Egypt,83661000.0,4534
61,Americas,Central America,El Salvador,6340000.0,298
62,Africa,Middle Africa,Equatorial Guinea,1622000.0,258
63,Africa,Eastern Africa,Eritrea,6333000.0,39
64,Europe,Northern Europe,Estonia,1286540.0,1643
65,Africa,Eastern Africa,Ethiopia,86613986.0,123
66,Europe,Northern Europe,Faroe Islands,48509.0,0
67,Oceania,Melanesia,Fiji,858038.0,18
68,Europe,Northern Europe,Finland,5445883.0,4576
69,Europe,Western Europe,France,65806000.0,162220
70,Americas,South America,French Guiana,229040.0,0
71,Oceania,Polynesia,French Polynesia,268270.0,0
72,Africa,Middle Africa,Gabon,1672000.0,176
73,Africa,Western Africa,Gambia,-1.0,10
74,Asia,Western Asia,Georgia,-1.0,486
75,Europe,Western Europe,Germany,80523700.0,157770
76,Africa,Western Africa,Ghana,24658823.0,1550
77,Europe,Southern Europe,Gibraltar,29752.0,0
78,Europe,Southern Europe,Greece,10815197.0,2517
79,Americas,Northern America,Greenland,56370.0,0
80,Americas,Caribbean,Grenada,103328.0,18
81,Americas,Caribbean,Guadeloupe,403355.0,0
82,Oceania,Micronesia,Guam,159358.0,0
83,Americas,Central America,Guatemala,15438384.0,500
84,Europe,Northern Europe,Guernsey,62431.0,0
85,Africa,Western Africa,Guinea,10824200.0,996
86,Africa,Western Africa,Guinea-Bissau,1704000.0,53
87,Americas,South America,Guyana,784894.0,74
88,Americas,Caribbean,Haiti,10413211.0,74
89,Americas,Central America,Honduras,8555072.0,627
90,Europe,Eastern Europe,Hungary,9906000.0,2500
91,Europe,Northern Europe,Iceland,325010.0,1792
92,Asia,Southern Asia,India,1236670000.0,27890
93,Asia,South-Eastern Asia,Indonesia,237641326.0,8882
94,Asia,Western Asia,Iraq,34035000.0,1820
95,Europe,Northern Europe,Ireland,-1.0,19262
96,Europe,Northern Europe,Isle of Man,84497.0,0
97,Asia,Western Asia,Israel,8092700.0,15443
98,Europe,Southern Europe,Italy,59829079.0,197675
99,Americas,Caribbean,Jamaica,2711476.0,350
100,Asia,Eastern Asia,Japan,127290000.0,13441
101,Europe,Northern Europe,Jersey,97857.0,0
102,Asia,Western Asia,Jordan,6512600.0,447
103,Asia,Central Asia,Kazakhstan,17099000.0,2717
104,Africa,Eastern Africa,Kenya,44354000.0,355
105,Oceania,Micronesia,Kiribati,106461.0,0
106,Asia,Western Asia,Kuwait,3582054.0,3075
107,Asia,Central Asia,Kyrgyzstan,5551900.0,682
108,Europe,Northern Europe,Latvia,2014000.0,812
109,Asia,Western Asia,Lebanon,4822000.0,707
110,Africa,Southern Africa,Lesotho,2074000.0,0
111,Africa,Western Africa,Liberia,4294000.0,124
112,Africa,Northern Africa,Libya,6202000.0,61
113,Europe,Western Europe,Liechtenstein,36842.0,82
114,Europe,Northern Europe,Lithuania,2950684.0,1438
115,Europe,Western Europe,Luxembourg,537000.0,3723
116,Africa,Eastern Africa,Madagascar,20696070.0,124
117,Africa,Eastern Africa,Malawi,16363000.0,34
118,Asia,South-Eastern Asia,Malaysia,29793600.0,5780
119,Asia,Southern Asia,Maldives,317280.0,214
120,Africa,Western Africa,Mali,15302000.0,389
121,Europe,Southern Europe,Malta,416055.0,448
122,Oceania,Micronesia,Marshall Islands,56086.0,0
123,Americas,Caribbean,Martinique,394173.0,0
124,Africa,Western Africa,Mauritania,3461041.0,7
125,Africa,Eastern Africa,Mauritius,1257900.0,332
126,Africa,Eastern Africa,Mayotte,212600.0,0
127,Americas,Central America,Mexico,118395054.0,14677
128,Europe,Eastern Europe,Moldova,3559500.0,3408
129,Europe,Western Europe,Monaco,36136.0,94
130,Asia,Eastern Asia,Mongolia,2754685.0,38
131,Europe,Southern Europe,Montenegro,620029.0,321
132,Americas,Caribbean,Montserrat,4922.0,0
133,Africa,Northern Africa,Morocco,33087700.0,4065
134,Africa,Eastern Africa,Mozambique,23700715.0,76
135,Asia,South-Eastern Asia,Myanmar,-1.0,146
136,Africa,Southern Africa,Namibia,2113077.0,16
137,Oceania,Micronesia,Nauru,9945.0,0
138,Asia,Southern Asia,Nepal,26494504.0,52
139,Europe,Western Europe,Netherlands,16807300.0,38040
140,Oceania,Melanesia,New Caledonia,258958.0,0
141,Americas,Central America,Nicaragua,6071045.0,13
142,Africa,Western Africa,Niger,17129076.0,696
143,Africa,Western Africa,Nigeria,173615000.0,1273
144,Oceania,Polynesia,Niue,1613.0,0
145,Oceania,Australia and New Zealand,Norfolk Island,2302.0,0
146,Oceania,Micronesia,Northern Mariana Islands,53883.0,0
147,Europe,Northern Europe,Norway,5077798.0,7527
148,Asia,Western Asia,Oman,3929000.0,1998
149,Asia,Southern Asia,Pakistan,184845000.0,13328
150,Oceania,Micronesia,Palau,20901.0,0
151,Americas,Central America,Panama,3405813.0,5779
152,Oceania,Melanesia,Papua New Guinea,7059653.0,8
153,Americas,South America,Paraguay,6783374.0,228
154,Americas,South America,Peru,30475144.0,27517
155,Asia,South-Eastern Asia,Philippines,98678000.0,7579
156,Europe,Eastern Europe,Poland,38533299.0,11617
157,Europe,Southern Europe,Portugal,10562178.0,23864
158,Americas,Caribbean,Puerto Rico,3667084.0,0
159,Asia,Western Asia,Qatar,2024707.0,10287
160,Europe,Eastern Europe,Republic of Kosovo,1733842.0,510
161,Africa,Eastern Africa,Réunion,821136.0,0
162,Europe,Eastern Europe,Romania,20121641.0,11036
163,Africa,Eastern Africa,Rwanda,10537222.0,191
164,Africa,Western Africa,Saint Helena,-1.0,0
165,Americas,Caribbean,Saint Kitts and Nevis,54000.0,15
166,Americas,Caribbean,Saint Lucia,166526.0,15
167,Americas,Northern America,Saint Pierre and Miquelon,6081.0,0
168,Oceania,Polynesia,Samoa,187820.0,0
169,Europe,Southern Europe,San Marino,32509.0,538
170,Asia,Western Asia,Saudi Arabia,29994272.0,17522
171,Africa,Western Africa,Senegal,13567338.0,671
172,Europe,Southern Europe,Serbia,7181505.0,6630
173,Africa,Eastern Africa,Seychelles,90945.0,11
174,Africa,Western Africa,Sierra Leone,6190280.0,93
175,Asia,South-Eastern Asia,Singapore,5399200.0,13624
176,Europe,Eastern Europe,Slovakia,5412008.0,1379
177,Europe,Southern Europe,Slovenia,2061405.0,1396
178,Oceania,Melanesia,Solomon Islands,561000.0,0
179,Africa,Eastern Africa,Somalia,10496000.0,436
180,Africa,Southern Africa,South Africa,52981991.0,4546
181,Africa,Middle Africa,South Sudan,11296000.0,6
182,Europe,Southern Europe,Spain,46704314.0,226629
183,Asia,Southern Asia,Sri Lanka,20277597.0,523
184,Africa,Northern Africa,Sudan,37964000.0,237
185,Americas,South America,Suriname,534189.0,10
186,Africa,Southern Africa,Swaziland,1250000.0,59
187,Europe,Northern Europe,Sweden,9625444.0,18640
188,Europe,Western Europe,Switzerland,8085300.0,29061
189,Asia,Central Asia,Tajikistan,8000000.0,0
190,Asia,South-Eastern Asia,Thailand,65926261.0,2922
191,Asia,South-Eastern Asia,Timor-Leste,-1.0,24
192,Africa,Western Africa,Togo,6191155.0,98
